Binary,Real
30.0705,0.977683
28.5636,0.953623
22.8426,0.953623
27.9566,0.946242
27.951,0.946242
26.1572,0.946242
24.5568,0.946242
25.6011,0.83994
25.3817,0.83994
23.5811,0.83994
23.4302,0.83994
26.6805,0.83994
24.0951,0.832359
23.2396,0.832359
24.3903,0.832359
22.0362,0.832359
25.8103,0.832359
25.6766,0.832359
22.648,0.832359
22.4901,0.832359
21.5465,0.824978
18.5121,0.824978
21.0341,0.77593
22.2086,0.77593
19.1003,0.77593
18.118,0.77593
17.9313,0.77593
19.1203,0.581962
19.8585,0.581962
18.3259,0.581962
15.8413,0.581962
15.6394,0.581962
17.0668,0.581962
14.2154,0.581962
23.856,0.581962
19.3241,0.581962
22.5812,0.581962
18.5196,0.581962
16.9717,0.57414
20.086,0.57414
18.4854,0.57414
19.0927,0.57414
16.8391,0.571511
18.8576,0.571511
19.3985,0.571511
19.0301,0.571511
18.6626,0.571511
19.3838,0.571511
19.4429,0.571511
19.7788,0.571511
19.5096,0.571511
19.7191,0.571511
18.7881,0.571511
18.5717,0.571511
19.5947,0.571511
17.9249,0.571511
15.4874,0.571511
17.9511,0.571511
16.3285,0.570744
18.6563,0.570744
18.2363,0.570744
13.458,0.570744
14.5143,0.53848
17.1707,0.53848
15.9237,0.53848
18.673,0.53848
19.1523,0.53848
14.7248,0.53848
16.7765,0.53848
18.1571,0.53848
19.9824,0.53848
20.8618,0.53848
15.8049,0.53848
14.2042,0.53848
12.0251,0.53848
15.6733,0.53848
15.1521,0.522837
14.1086,0.521034
13.9958,0.521034
15.6917,0.521034
12.6761,0.521034
12.1237,0.521034
11.2105,0.521034
14.9967,0.521034
17.94,0.521034
19.5937,0.521034
16.3367,0.521034
17.9543,0.521034
20.0433,0.521034
18.3931,0.521034
14.3197,0.521034
15.9096,0.521034
16.8843,0.521034
16.0036,0.521034
18.91,0.521034
14.1813,0.521034
17.3673,0.511905
17.1472,0.511905
14.1211,0.511905
13.0595,0.511905
17.9022,0.511905
16.3258,0.511905
14.7157,0.511905
19.0231,0.511905
12.925,0.511905
16.6954,0.511905
17.1489,0.511905
14.2561,0.511905
15.1767,0.479516
13.8038,0.479516
15.2077,0.479516
15.8112,0.479516
14.4998,0.479516
18.2882,0.479516
13.8011,0.479516
12.5135,0.479516
13.7733,0.479516
14.7234,0.479516
16.0813,0.335701
10.8259,0.335701
13.3441,0.335701
13.9164,0.335701
17.3121,0.335701
15.7498,0.335701
17.7662,0.335701
16.0207,0.335701
16.6498,0.335701
13.7339,0.335701
13.027,0.335701
15.9204,0.335701
13.3972,0.335701
15.5932,0.335701
13.511,0.335701
11.5475,0.331877
14.5625,0.331877
13.0321,0.331877
13.2544,0.331877
13.5162,0.331877
14.4628,0.327196
13.9936,0.327196
15.3836,0.327196
13.5067,0.327196
11.7782,0.327196
9.86429,0.316539
14.3824,0.271054
11.5698,0.271054
11.8852,0.271054
11.4828,0.271054
7.79852,0.270134
16.3804,0.270134
14.0202,0.270134
14.0923,0.270134
15.4534,0.270134
15.8888,0.224649
15.8318,0.270134
15.7233,0.270134
14.058,0.267773
14.0458,0.267773
14.8592,0.263947
12.3643,0.200466
10.7328,0.200466
10.3251,0.200466
9.16782,0.200466
12.006,0.18981
11.2112,0.18981
11.91,0.18981
11.0271,0.18981
9.77987,0.187449
13.1539,0.187449
11.0313,0.187449
10.678,0.182296
11.1408,0.182296
16.3814,0.182296
12.9211,0.182296
9.6947,0.182296
13.6869,0.182296
12.3274,0.182296
12.6725,0.182296
15.0024,0.182296
11.3065,0.182296
14.0791,0.182296
15.4013,0.182296
11.672,0.182296
10.4888,0.182296
8.02224,0.182296
10.5401,0.182296
8.76267,0.182296
8.84978,0.182296
8.73675,0.182296
10.9004,0.182296
11.1573,0.182296
11.8983,0.182296
10.1408,0.178424
10.2422,0.178424
13.7082,0.178424
11.9065,0.178424
11.4405,0.178424
10.1104,0.178424
6.92576,0.178424
15.0507,0.178424
14.5338,0.178424
10.5769,0.178424
11.1009,0.178424
11.2524,0.178424
12.2642,0.178424
12.8441,0.178424
11.3633,0.178424
14.6921,0.178424
10.3587,0.178424
8.83215,0.178424
12.2915,0.178424
10.7002,0.178424
10.8215,0.178424
9.09604,0.178424
10.9505,0.178424
11.926,0.178424
11.1212,0.178424
14.3925,0.178424
16.4213,0.178424
12.2422,0.178424
9.72905,0.178424
13.4796,0.178424
9.5742,0.178424
6.83527,0.178424
11.2008,0.178424
10.1058,0.178424
7.92071,0.178424
11.1262,0.178424
12.4312,0.178424
8.61331,0.178424
11.8816,0.178424
10.0121,0.178424
11.542,0.178424
11.1954,0.178424
8.38903,0.178412
9.3404,0.178412
11.1193,0.178412
11.7322,0.178412
9.01146,0.178412
9.38382,0.178412
8.31073,0.178412
10.0602,0.178412
6.21054,0.178412
6.53097,0.178412
10.4683,0.178412
7.93445,0.178412
10.0469,0.178412
8.21266,0.178412
9.20285,0.178412
6.30334,0.178412
10.0027,0.178412
9.21783,0.178412
8.02791,0.178412
7.5385,0.178412
10.219,0.178412
8.02885,0.178412
11.0346,0.178412
7.97649,0.178412
